topic_idx,context_idx,question_idx,symbolic_answer,neural_answer,symbolic_is_correct,neural_is_correct
4,0,0,"acadêmica obtida em programas de pósgraduação stricto sensu; ter todos os membros em regime de trabalho de tempo parcial ou integral,",continuidade no processo de acompanhamento do curso,False,False
4,0,1,"seus colegiados superiores, devem definir as atribuições",colegiados superiores,True,True
4,0,2,"acadêmica obtida em programas de pósgraduação stricto sensu; ter todos os membros em regime de trabalho de tempo parcial ou integral,","atribuições e os critérios de constituição do nde, atendidos, no mínimo, os seguintes : ser constituído por um mínimo de 5 professores pertencentes ao corpo docente do curso",False,True
4,0,3,"acadêmica obtida em programas de pósgraduação stricto sensu; ter todos os membros em regime de trabalho de tempo parcial ou integral,",60 %,False,True
4,1,0,o nde deve ser constituído por membros do,liderança acadêmica no âmbito do mesmo,False,True
4,1,1,o nde deve ser constituído por membros do,"núcleo docente estruturante ( nde ) de um curso de graduação constitui - se de um grupo de docentes, com atribuições acadêmicas de acompanhamento, atuante no processo de concepção, consolidação e contínua atualização do projeto pedagógico do curso",False,True
4,1,2,o nde deve ser constituído por membros do,"acompanhamento, atuante no processo de concepção, consolidação e contínua atualização do projeto pedagógico do curso",False,True
4,1,3,"corpo docente do curso, que exerçam liderança acadêmica no âmbito do mesmo, percebida na produção de conhecimentos na área, no desenvolvimento do ensino,","grupo de docentes, com atribuições acadêmicas de acompanhamento, atuante no processo de concepção, consolidação e contínua atualização do projeto pedagógico do curso",False,True
4,2,0,"são atribuições do núcleo docente estruturante, entre outras: contribuir",cumprimento das diretrizes curriculares nacionais para os cursos de graduação,False,True
5,0,0,o projeto pedagógico de curso de graduação deverá ser elaborado,por meio de sistema eletrônico,False,True
5,1,0,"cumprida. para fins de registro no siscad, a componente curricular não disciplinar",,False,False
5,1,1,as componentes curriculares não disciplinares são: atividades complementares acs-nd; atividades orientadas de ensino aoe-nd; atividades de extensão aex-nd; trabalho de conclusão de curso tcc-nd; e exame nacional de desempenho enade. outras componentes curriculares não disciplinares podem ser definidas no projeto pedagógico do curso. para fins de registro no sistema de controle acadêmico siscad,,True,False
6,0,0,"a solicitação do regime de exercícios domiciliares deve ser protocolizada imediatamente à constatação do fato, ficando sem efeito",coordenador de curso,False,True
6,1,0,outras condições mórbidas. entende-se por regime de exercícios domiciliares a substituição das aulas,"a substituição das aulas não frequentadas pelo acadêmico, por atividades realizadas em ambiente domiciliar ou hospitalar",True,True
6,2,0,"o acadêmico deverá entregar requerimento na secretaria acadêmica,",na secretaria acadêmica,True,True
6,3,0,"as atividades que deverão ser cumpridas durante o regime de exercícios domiciliares, bem como, os prazos de entrega, cabendo ao acadêmico, ou ao seu procurador, a responsabilidade de retirar e devolver as atividades na coordenação de curso. se",,False,False
7,0,0,todos os alunos deverão migrar para a nova estrutura curricular.,orgão competente,False,False
8,0,0,,uma única vez,False,True
8,1,0,"o plano de estudos deverá conter, referente ao curso na ufms:",o nome do curso ; o nome do acadêmico ; e todas as disciplinas necessárias para a integralização da matriz curricular,False,True
8,1,1,,colegiado de curso,False,True
9,0,0,a vítima poderá dirigir o seu pedido à autoridade responsável pela área,,False,False
9,1,0,"comissão de sindicância, consangüíneos ou afins do denunciante ou do indiciado, nem pessoas suspeitas com relação ao acusado e ao denunciante.","reitor ou diretor de centro / câmpus destina - se ao levantamento de situações e informações tendentes a fornecer elementos esclarecedores de determinados atos ou fatos cuja apuração se torne necessária, no interesse da universidade. a comissão de sindicância será composta de, no mínimo três e no máximo cinco membros",False,False
9,2,0,"a apuração de falta grave, cometida por discente. compete ao reitor designar comissão, com pelo menos três membros,",designar comissão,True,True
10,0,0,comporão a média,frequência e da média de aproveitamento,False,True
10,1,0,"cada turma ofertada da disciplina deverá ter um plano de ensino contendo, obrigatoriamente: identificação; objetivos; ementa; programa; procedimentos de ensino; recursos; avaliação, com especificação dos instrumentos e das avaliações acadêmicas, avaliação optativa, as respectivas datas de aplicação e a fórmula da média de aproveitamento; atividade pedagógica de recuperação de desempenho em avaliações; bibliografia;",dez,False,True
10,2,0,"e programa institucional de bolsas de iniciação à docência pibid. a responsabilidade pela verificação do cumprimento das atividades complementares será de um ou mais professores, por determinação do diretor da unidade da administração setorial.",um ou mais professores,True,True
10,3,0,o acadêmico deverá obter frequência igual ou superior,igual ou superior a setenta e cinco por cento,False,True
10,4,0,"o professor da disciplina será responsável pela alteração no siscad,",por meio de requerimento protocolizado na secretaria acadêmica da unidade da administração setorial em que o curso é oferecido,False,True
10,5,0,"sua matrícula somente poderá ser alterada se houver aproveitamento de disciplinas cursadas anteriormente, conforme plano de estudos elaborado pelo coordenador de curso. para as demais formas de ingresso previstas no art. 18,",,False,False
10,6,0,"o resultado do pedido de recontagem de frequência deve ser arquivado na pasta do acadêmico, com o seu ciente. do resultado do pedido","mediante requerimento dirigido ao professor da disciplina e protocolizado na secretaria acadêmica, no prazo máximo de cinco dias úteis após a divulgação",False,True
10,7,0,"a disciplina está lotada. as atividades acadêmicas, no período letivo especial,",até três disciplinas,False,True
10,8,0,não for permitido o trancamento automático.,até quatro semestres,False,True
10,9,0,"o vínculo acadêmico com a ufms dar-se-á mediante a realização de matrícula no curso. o vínculo do acadêmico será mantido mediante renovação de matrícula ou trancamento de matrícula. as formas de ingresso nos cursos de graduação da ufms são: portadores de certificado de conclusão do ensino médio ou equivalente que tenham sido classificados em processo seletivo específico; acadêmicos regulares, por transferência para cursos afins, mediante existência de vagas e por meio de processo seletivo; acadêmicos regulares, por transferência compulsória para cursos afins, mediante comprovação de atendimento à legislação específica; portadores de diploma de curso de graduação, mediante existência de vagas e por meio de processo seletivo; acadêmicos regulares de outras instituições, mediante convênios ou outros instrumentos jurídicos de mesma natureza, com instituições nacionais ou internacionais; portadores de certificado de conclusão do ensino médio ou equivalente, mediante convênios ou outros instrumentos jurídicos de mesma natureza firmados com outros países; acadêmicos da universidade, por movimentação interna entre cursos, mediante existência de vagas e por meio de processo seletivo; acadêmicos da universidade, por permuta interna entre cursos afins, desde que satisfaçam os requisitos definidos em norma específica; e portadores de diploma de curso de graduação, para complementação de estudos para fins de revalidação de diploma, desde que satisfaçam os requisitos definidos em norma específica. os editais para o preenchimento de vagas serão expedidos pela pró-reitoria de ensino de graduação.",mediante a realização de matrícula no curso,True,False
11,0,0,"um encontro presencial além da avaliação presencial; e pelo menos um encontro síncrono, entre professores e alunos, a cada 34 horas da carga horária da disciplina. cada encontro presencial terá carga horária mínima",10 horas,False,True
12,0,0,"a resolução no 401, de 22 de novembro de 2013, que estabelece as normas para a renovação de matrícula dos cursos de graduação, presenciais, da fundação universidade federal de mato grosso do sul, passa",22 de novembro de 2013,True,True
12,0,1,"a resolução no 401, de 22 de novembro de 2013, que estabelece as normas para a renovação de matrícula dos cursos de graduação, presenciais, da fundação universidade federal de mato grosso do sul, passa","as normas para a renovação de matrícula dos cursos de graduação, presenciais, da fundação universidade federal de mato grosso do sul",True,True
13,0,0,"a transferência compulsória para os cursos de graduação da ufms será efetivada de acordo com a lei no 9.536/97, e com os requisitos deste regulamento.",lei no 9.536/97,True,True
